Description	Germ layer	Cell type/tissue source
B cell (active)	Blood mesoderm	Primary cells (FACS sorted/magnetically purified)
B cells CD19+	Blood mesoderm	Primary cells (FACS sorted/magnetically purified)
B cells CD43-	Blood mesoderm	Primary cells (FACS sorted/magnetically purified)
B cell (germinal center)	Blood mesoderm	Primary cells (FACS sorted/magnetically purified)
B cell (naive)	Blood mesoderm	Primary cells (FACS sorted/magnetically purified)
B cell (resting)	Blood mesoderm	Primary cells (FACS sorted/magnetically purified)
Bone marrow	Blood mesoderm	Primary tissue
Bone marrow macrophages	Blood mesoderm	Primary cells (FACS sorted/magnetically purified)
Monocyte	Blood mesoderm	Primary cells (FACS sorted/magnetically purified)
BMDM	Blood mesoderm	In vitro derived cells
BMDM +IL-1b	Blood mesoderm	In vitro derived cells
BMDM +MALP2	Blood mesoderm	In vitro derived cells
BMDM +TGFb	Blood mesoderm	In vitro derived cells
BMDM +CpolyG	Blood mesoderm	In vitro derived cells
BMDM -lipidA	Blood mesoderm	In vitro derived cells
BMDM +lipidA 360 mins	Blood mesoderm	In vitro derived cells
BMDM +IFNg	Blood mesoderm	In vitro derived cells
BMDM +IL-4	Blood mesoderm	In vitro derived cells
BMDM +IFNa	Blood mesoderm	In vitro derived cells
CD4T DP CD3hi	Blood mesoderm	Primary cells (FACS sorted/magnetically purified)
CD4T DP CD3lo	Blood mesoderm	Primary cells (FACS sorted/magnetically purified)
CD4+ Th1 cells	Blood mesoderm	In vitro derived cells
CD4+ Th17 cells 	Blood mesoderm	In vitro derived cells
CD4+ Th2 cells	Blood mesoderm	In vitro derived cells
CD4+ Th9 cells	Blood mesoderm	In vitro derived cells
CD4+ Treg cells	Blood mesoderm	In vitro derived cells
CD4+ T cells	Blood mesoderm	Primary cells (FACS sorted/magnetically purified)
CD4+ iTreg cells	Blood mesoderm	In vitro derived cells
CD4+ T cells -IL-21	Blood mesoderm	Primary cells (FACS sorted/magnetically purified)
CD4+ T cells +IL-21	Blood mesoderm	Primary cells (FACS sorted/magnetically purified)
CD8+ T cells	Blood mesoderm	Primary cells (FACS sorted/magnetically purified)
CD8+ T cells +IL-2	Blood mesoderm	Primary cells (FACS sorted/magnetically purified)
CD4+ T NKG2D- cells	Blood mesoderm	Primary cells (FACS sorted/magnetically purified)
CD4+ T NKG2D+ cells	Blood mesoderm	Primary cells (FACS sorted/magnetically purified)
Common lymphoid progenitor	Blood mesoderm	Primary cells (FACS sorted/magnetically purified)
Common myeloid progenitor	Blood mesoderm	Primary cells (FACS sorted/magnetically purified)
DC CD11+	Blood mesoderm	Primary cells (FACS sorted/magnetically purified)
DC CD8+	Blood mesoderm	Primary cells (FACS sorted/magnetically purified)
